,line_num,matn,width,sehat
0,1,پسری که زنده ماند ,315,299
1,2,آقا و خانم دورسلی ۱ ساکن خانه‌ی شماره‌ی چهار خیابان پریوت درایو ۲ ,604,1060
2,3,بودند. خانواده‌ی آن‌ها بسیار معمولی و عادی بود و آن‌ها از این بابت بسیار ,635,1214
3,5,راضی و خشنود بودند. این خانواده به هیچ وجه با امور مرموز و اسرارآمیز ,634,1234
4,7,سروکار نداشتند زیرا سحر و جادو را امر مهمل و بیهوده‌ای می‌پنداشتند و ,634,1160
5,9,علاقه‌ای به این گونه مسائل نداشتند. ,303,496
6,11,آقای دورسلی مدیر شرکت دریل سازی گرونینگزآ» مردی درشت اندام و ,636,875
7,13,قوی هیکل بود با گردنی بسیار کوتاه که سبیل بلندی نیز داشت. همسر او ,633,1052
8,15,خانم دورسلی زنی لاغراندام بود با موهای بور و گردنی کشیده و بلند. بلندی ,633,1209
9,17,گردنش بسیار برایش مفید بود زیرا بیش‌تر وقتش را صرف سرک کشیدن به ,634,1111
10,11,خانه‌ی همسایه‌ها می‌کرد. آن‌ها پسری داشتند به نام دادلی که به عقیده ,634,1046
11,12,1. Dursley 2. Privet Drive ,452,470
12,14,3. Grunnings ,121,185
13,14,۸ هری پاتر و سنگ جادو ,636,543
14,16,خودشان لنگه نداشت. ,190,275
15,18,آن‌ها خانواده‌ی مرفهی بودند و هیچ کم و کسری نداشتند اما در این ,615,1046
16,20,خانواده رازی وجود داشت که نباید برملا می‌شد. آن‌ها هميشه در هول و ,636,1150
17,18,هراس بودند که مبادا روزی کسی به رازشان پی ببرد. حتی تصور این که کسی ,634,1305
18,20,از خانواده‌ی پاتر! چیزی بداند برایشان غیرقابل تحمل بود. خانم پاتر خواهر ,637,1061
19,22,خانم دورسلی بود اما سال‌ها بود که یکدیگر را ندیده بودند. در واقع خانم ,635,1264
20,24,دورسلی وانمود می‌کرد که خواهری ندارد زیرا خواهر او و شوهر ,636,992
21,26,بی‌مصرفش ذره‌ای به خانواده‌ی آن‌ها شباهت نداشتند. دورسلی‌ها هميشه از ,636,880
22,28,این واهمه داشتند که روزی خانواده‌ی پاتر در آن حوالی آفتابی شوند و ,636,1122
23,30,سرزبان‌ها بیفتند. آن‌ها این را نیز می‌دانستند که خواهر خانم دورسلی یک ,634,1037
24,32,پسر کوچک دارد ولی هرگز او را ندیده بودند و این خود بهانه‌ی دیگری برای ,635,1225
25,34,دوری کردن از پاترها به دست آن‌ها می‌داد زیرا نمی خواستند پسرشان با پسر ,636,1260
26,36,خانواده‌ی پاتر دوست و همبازی شود. ,318,547
27,38,"خلاصه, داستان ما از یک روز سه‌شنبه آغاز شد. صبح آن روز وقتی آقا و ",605,1309
28,40,خانم دورسلی از خواب بیدار شدند هوا ابری بود اما همه چیز عادی به نظر ,647,1349
29,42,می‌رسید و هیچ نشانه‌ای از وقوع یک واقعه‌ی عجیب و اسرارآمیز در سراسر ,634,1081
30,44,کشور وجود نداشت. آقای دورسلی که آوازی را زیر لب زمزمه می‌کرد یکی ,634,1166
31,46,از کراوات‌های تکراریش را برداشت. خانم دورسلی نیز همان‌طور که پشت ,634,973
32,33,سر این و آن غیبت می‌کرد دادلی جیغ جیغو را روی صندلیش نشاند. ,568,1088
33,35,هیچ یک از آن‌ها Sy Glogs tee‏ را که از مقابل پنجره پر زد و رفت ,603,1302
34,37,ندیدند. ,63,72
35,39,ساعت هشت ونیم آقای دورسلی کیفش را برداشت تا به محل کارش ,603,1078
36,41,برود. از همسرش خداحافظی کرد اما از آن جا که دادلی نحس شده بود و ,635,1374
37,38,1. Potter ,80,143
38,39,فصل اول * پسری که زنده ماند ۹ ,634,724
39,41,بهانه می‌گرفت نتوانست او را ببوسد. دادلی با اوقات تلخی غذایش را به در و ,635,1368
40,41,دیوار پرتاب می‌کرد. آقای دورسلی گفت: «ای وروجک فسقلی!» و در حالی ,634,1053
41,43,که از ته دل می‌خندید از در بیرون رفت. سوار اتومبیلش شد و دنده عقب از ,636,1454
42,45,پارکینگ بیرون آمد. ,161,266
43,47,اولین صحنه‌ی غیرعادی آن روز گربه‌ای بود که نقشه‌ای را می‌خواند. یک ,604,1079
44,49,آن متوجه آنچه دیده بود نشد اما بلافاصله روبش را برگرداند تا نگاه دیگری ,641,1195
45,51,بکند. این بار گربه‌ای را دید که سر کوچه ایستاده بود ولی از نقشه خبری نبود. ,634,1379
46,53,شاید خیالاتی شده بود. شاید هم آن صحنه حاصل خطای دیدش بود.چند ,633,1053
47,55,بار پلک زد و به گربه خیره شد. گربه نیز به او زل زد. دوباره راه افتاد اما این بار ,636,1707
48,57,از آینه‌ی اتومبیل گربه را زیر نظر داشت. گربه این بار مشغول خواندن تابلویی ,634,1177
49,59,"بود که روی آن نوشته شده بود: پریوت درایو"". آقای دورسلی به خود نهیب ",634,1160
50,61,زد: «نه» داره تابلو رو نگاه می‌کنه. ولی گربه‌ها که نمی‌تونن نقشه یا تابلو ,636,1156
51,63,بخونن.» او روی صندلی اتومبیل جا به جا شد و فکرگربه را از سر بیرون کرد. ,634,1423
52,65,اکنون به سمت شهر می‌رفت و جز سفارش عظیم دریل آن روز به چیز ,636,1223
53,67,دیگری فکر نمی‌کرد. ,175,258
54,69,در حاشیه‌ی شهر ترافیک سنگینی بود و همان جا چشمش به افرادی افتاد ,604,1191
55,71,که لباس‌های عجیب و غریبی به تن داشتند و جلب توجه می‌کردند. او اصلاً ,637,1195
56,57,افرادی را که لباس‌های عجیب به تن می‌کردند نمی‌پستدید. نمونه‌ی این افراد ,635,955
57,59,جوان‌هایی بودند که لباس‌های مسخره می‌پوشیدند. آقای دورسلی به خود ,635,876
58,61,گفت: «حتماً اینم یه مد احمقانه‌ی جدیده.» مشاهده‌ی آن منظره باعث شد که ,635,994
59,63,دریل‌ها کاملاً از یادش بروند. با حالتی عصبی انگشت‌هایش را روی فرمان ,634,972
60,65,تکان می‌داد که چشمش به گروهی از این افراد افتاد که فاصله‌ی چندانی با او ,637,1306
61,67,نداشتند. آن‌ها با شور و حرارت با هم پچ پچ می‌کردند. آقای دورسلی وقتی ,635,1272
62,69,دید یکی از آن‌ها که شنل سبزی به تن داشت فقط کمی از خودش از خودش ,635,1467
63,71,جوان‌تر است بیش‌تر عصبانی شد. طرز لباس پوشیدن آن‌ها به هیچ وجه ,635,1080
64,65,    ,590,190
65,67,-... آره» پسرشون» هری... ,218,273
66,69,آقای دورسلی از ترس خشکش زد. او به طرف افرادی که با هم پچ پچ ,601,1350
67,68,فصل اول #* پسری که زنده ماند ۱ ,633,689
68,70,می‌کردند برگشت گوبی می‌خواست چیزی به آن‌ها بگوید. ولی فکر بهتری به ,634,1033
69,72,نظرش رسید و از این کار منصرف شد. ,321,675
70,71,او به سرعت از عرض خیابان گذشت و به دفترش رفت. با بدخلقی از ,605,1280
71,73,منشی‌اش خواست که مزاحم او نشود. سپس گوشی تلفن را برداشت و ,637,1096
72,75,شماره‌ی منزلش راگرفت. اما بلافاصله تصمیمش عوض شد وگوشی تلفن را ,634,970
73,77,گذاشت. دستی به سبیلش کشید و به فکر فرو رفت. اوگیج شده بود. اسم پاتر ,637,1328
74,79,چندان هم غیرمعمول و کمیاب نبود. یقین داشت افراد بی‌شماری با این اسم ,634,1108
75,81,وجود دارند که برحسب اتفاق نام پسرشان نیز هری است. او حتی اطمینان ,634,1168
76,83,نداشت که اسم خواهرزاده‌ی زنش هری باشد. اصلاً او را ندیده بود. ممکن ,634,1130
77,85,بود اسم او هاروی يا هارولد باشد. چرا باید همسرش را نگران می‌کرد؟ چون ,635,1250
78,87,او حتی از شنیدن اسم خواهرش نیز ناراحت می‌شد. آقای دورسلی همسرش ,634,1070
79,89,را سرزنش نمی‌کرد زیرا اگر خودش نیز چنین خواهری داشت همان مسائل ,634,1072
80,91,پیش می آمد. همان افراد شنل‌پوش و ... ,323,696
81,82,آن روز بعد از ظهر تمرکز روی کارش دشوار به نظر می‌رسید. آقای ,605,1153
82,84,دورسلی ساعت پنج هنگام خروج از ساختمان شرکت چنان مضطرب بود که ,645,1091
83,86,جلوی در به شخصی تنه زد و بلافاصله عذرخواهی کرد. ,468,904
84,88,او غفلتاً به پیرمرد نحیفی تنه زده بود. پیرمرد تعادلش را از دست داد و ,606,1336
85,90,چیزی نمانده بود که به زمین بیفتد. چند لحظه بعد که آقای دورسلی به خود ,634,1321
86,92,آمد متوجه شد که پیرمرد شنل بنفش رنگی به تن دارد و به نظر نمی‌رسید از ,637,1418
87,94,این برخورد ناگهانی ناراحت شده باشد. پیرمرد لبخندی به پهنای صورتش زد ,635,1044
88,96,و با صدای زیری که باعث جلب توجه رهگذرها شد گفت: ,490,996
89,98,-مهم نیست» دوست عزیز. امروز هیچی نمی‌تونه منو ناراحت کنه. برو خدا ,636,1033
90,100,رو شکر کن که بالاخره طرف رفته. حتی مشنگ‌هایی مثل تو هم باید در ,603,1171
91,92,رو شکر کن که بالا خره طرف رفته. حتی مشنک‌هایی مثل تو هم باید در ,603,1282
92,94,۱۳ هری پاتر و سنگ جادو ,635,475
93,96,  ,215,95
94,98,و شاد باشن. ,102,258
95,100,پیرمرد صمیمانه آقای دورسلی را در آغوش فشرد و سپس از او دور شد. ,605,1276
96,102,آقای دورسلی سرجایش میخکوب شده بود. یک پیرمرد او را در آغوش ,605,974
97,104,گرفته بود و او را مشنگ خطاب کرده بود. او هیچ از حرف‌هایش سر در ,637,1353
98,106,نیاورده بود. دلواپس و آشفته بود. به سرعت به سوی آتومبیلش رفت و راه ,634,1220
99,108,منزل را در پیش گرفت. با این که به خواب و رویا علاقه‌ای نداشت امیدوار بود ,635,1405
100,110,که همه‌ی اين‌ها را در خواب دیده باشد. پیش از آن هرگز چنین آرزوبی نکرده ,636,1305
101,112,بود. ,31,91
102,114,پس از ورود به پارکینگ منزلش اولین چیزی که توجهش را جلب کرد ,606,1163
103,116,همان گربه‌ای بود که صبح دیده بود. تردیدی نداشت که همان گربه است زیرا ,634,1237
104,118,sl os: os 1 1S cron. oe wis cles:‏ وروی دوواد ,636,222
